gene_name	A2780_rep1	A2780_rep2	A2780_rep3	Acis_rep1	Acis_rep2	Acis_rep3
GTPBP2	454	432	395	243	219	195
FGGY	25	19	20	16	14	14
IL17D	29	26	18	13	8	8
TCEAL1	62	58	50	40	61	55
ZNF24	1102	1088	1004	782	873	783
MANEA	157	153	155	88	123	103
AFF1	398	369	364	642	597	639
FIBP	422	398	344	349	357	339
CARNS1	2	3	1	2	2	8
BANP	239	258	230	216	180	171
PPP1CA	598	580	509	608	616	546
HCFC1	3159	3042	2801	2886	2662	2437
NIPAL4	182	159	146	0	0	0
PDE3A	35	33	31	1	1	2
RASGRP1	11	13	25	2	1	3
CHCHD1	160	162	134	126	120	128
MRPL52	212	237	210	210	203	209
SMPDL3A	3	2	0	7	12	13
RND1	6	14	8	2	2	3
RAD9A	98	110	107	128	132	115
EFEMP2	19	13	10	22	20	20
AGAP5	3	1	5	0	2	1
WASHC2C	244	237	226	279	229	229
TMEM134	110	105	88	92	87	67
ZMAT3	422	393	354	270	279	258
ZFAND4	85	85	73	184	155	173
ZNF738	103	86	96	0	0	0
CORO1B	457	488	415	503	453	379
FUT10	257	217	200	197	200	194
LRRC20	206	194	158	178	182	184
MUS81	495	461	391	409	398	394
PURG	17	14	14	1	2	4
TMEM217	2	5	2	1	4	3
ZNF596	44	49	38	17	7	14
COL6A5	1	3	3	0	0	0
CFL1	881	876	820	885	914	839
TMCC1	302	301	251	279	251	253
NAA16	443	455	409	251	312	312
EFCAB12	8	5	6	4	6	10
PSME3IP1	513	488	457	407	400	389
RAB43	6	7	6	7	4	2
CBWD1	63	66	63	58	57	47
HOXC5	15	7	12	20	23	10
DCP2	1102	1074	943	499	577	538
ZBTB8OSP2	29	20	23	23	30	22
SNX32	18	14	7	5	6	15
RPL38	316	330	282	362	373	301
CYP7B1	9	3	2	0	0	0
OVOL1	0	0	0	0	0	0
RARG	578	577	488	443	398	345
CES3	37	33	35	5	7	10
SSH3	8	11	8	219	201	163
CES2	419	386	338	509	499	460
PDP2	462	452	383	593	575	566
SP3	1152	1106	1054	829	881	822
DMXL1	390	415	318	306	308	323
METAP1D	368	377	332	242	230	223
ZNF621	422	369	350	536	521	540
EGFL7	148	137	122	99	103	86
NADSYN1	258	251	217	348	280	301
DHCR7	401	387	349	631	610	529
LVRN	1	1	0	0	0	1
NBEA	650	603	551	24	19	23
RNASEH2C	276	251	217	308	292	257
MYEOV	3	4	2	3	0	0
ANKRD13D	369	316	305	416	393	358
MYD88	4	3	4	9	6	3
OXSR1	806	805	696	718	747	663
SLC22A13	7	2	1	2	2	1
PHF8	588	600	504	619	583	577
LCLAT1	404	407	356	338	439	377
MIR4435-2HG	154	175	138	110	111	98
FRG2C	9	10	7	0	0	0
VDAC2P5	209	205	175	172	190	162
KAT5	329	334	303	354	350	323
SH3RF3	9	12	10	139	141	131
GXYLT2	265	265	199	216	183	204
HPSE2	100	92	77	19	30	31
DCAKD	250	253	225	230	207	201
ARPP21	4	9	13	0	0	0
TADA2B	353	335	306	434	409	376
CCDC96	41	50	45	51	36	34
GRK2	585	544	490	674	634	530
RELA	484	482	410	643	594	558
ZNF680	229	198	177	60	65	67
HECTD4	706	658	631	692	605	625
FAM222B	616	568	537	349	323	330
HPSE	3	8	5	41	50	46
COQ2	154	157	131	181	195	163
HSPA6	17	11	12	7	9	10
TRMT112	201	210	175	195	177	182
LRRN3	62	37	52	7	7	11
KDM2A	1096	1067	1010	1132	1076	1023
ADCK5	45	53	37	77	92	75
MRPL57	266	267	235	159	150	148
NOC3L	614	611	553	554	620	579
ESRRA	388	402	335	497	467	425
COMMD1	94	90	77	77	74	73
RAPH1	567	533	537	462	409	428
MTX1	145	156	122	160	156	138
ADCY5	1	0	1	3	2	0
PARP14	1389	1374	1241	529	580	560
CKS1B	112	125	103	113	123	104
ABCD2	7	8	7	0	0	0
AHSA2P	438	405	353	302	267	259
TUBB8B	2	6	6	14	17	15
MFSD4B	201	199	153	163	143	134
VANGL1	296	320	271	172	194	163
GLRX	22	16	26	4	4	5
IQCB1	303	294	265	259	283	259
SYT12	16	8	7	46	49	36
GOLGB1	1457	1359	1260	1379	1212	1238
ZNF483	204	180	163	164	162	142
PLAC8L1	9	7	8	5	5	9
SLC2A14	1	0	1	0	1	1
GPR137	357	352	306	405	348	312
SNCG	75	81	72	1	0	1
MMRN2	21	21	12	0	0	1
MZT2A	188	178	178	224	225	191
TNKS	917	867	781	672	700	711
ZNF449	115	94	88	81	81	92
ZBTB21	540	511	498	507	466	515
PPP1R3B	426	415	353	161	150	141
FAM86B3P	13	15	10	9	10	6
STOX2	43	47	34	395	428	410
MAP3K11	466	461	419	481	396	362
TRIB1	109	85	105	234	238	202
KCNK7	1	1	3	2	1	0
SFT2D3	82	93	77	59	63	46
NDNF	181	218	185	1	0	0
IQCF1	0	1	0	1	1	1
DAG1	1785	1767	1564	1523	1485	1369
ARV1	238	229	211	191	187	186
NAA20	268	277	251	251	269	268
SAA1	30	34	29	0	0	0
MICOS10	76	80	73	53	60	53
EHBP1L1	707	722	570	1016	976	870
THAP2	37	47	39	33	36	29
RNF26	558	562	490	485	449	413
PPP1R14B	160	161	154	181	181	159
ZNRD2	172	176	154	147	162	132
SMARCC1	1764	1718	1584	1623	1614	1473
ZNF417	133	110	111	97	95	106
FKBP2	6	4	6	5	4	4
VEGFB	252	255	237	266	280	260
PEAK1	906	848	768	688	639	662
TNFRSF10D	136	148	113	145	162	145
MST1	17	17	21	9	5	7
TNFRSF10C	2	1	1	0	0	1
GMPPB	297	277	230	317	323	273
MOB1B	506	510	428	558	707	592
ZNF622	277	265	252	253	238	230
CSPG4	366	329	295	427	424	330
SNX33	282	248	238	324	306	257
NABP1	9	10	6	4	5	4
ADGRF3	4	8	4	1	3	2
CHD2	1125	1085	1032	840	777	769
XCR1	5	9	7	0	0	0
CCDC106	265	264	227	322	313	285
CEP83	349	344	327	320	327	352
NUDT4	207	189	177	193	222	188
PC	82	87	74	124	122	102
SCAI	198	199	188	145	186	177
NMNAT1	67	69	75	60	48	45
LRFN4	293	307	256	491	458	405
SLC19A1	553	474	418	634	633	529
HSPB7	0	2	0	0	0	0
RCE1	173	178	161	196	186	167
UQCRH	248	232	206	239	218	234
EIF1AX	392	389	374	306	391	321
BCLAF3	107	96	89	79	68	66
PSMD1	1461	1417	1306	1215	1249	1113
SUSD5	163	133	135	25	35	24
HEG1	323	331	320	221	167	182
C11orf80	71	76	73	80	77	73
TOMM20	1061	1076	964	909	972	899
AGFG1	875	882	774	751	783	729
STAT5B	495	459	445	355	307	301
CNP	779	737	645	626	648	568
JUP	404	405	355	52	45	47
HAP1	18	17	23	40	27	29
EIF1	827	816	734	701	715	611
ENDOV	143	150	139	130	112	111
RNF213	2044	2028	1750	1688	1531	1503
TIGD3	13	4	5	10	14	17
KCNH6	3	1	1	1	0	2
PLK3	104	103	78	114	78	103
NET1	457	446	408	314	286	300
DPY19L1	388	399	374	340	361	313
PHOSPHO1	8	3	11	22	13	8
ZNF791	356	371	331	284	249	255
PHC3	861	790	769	969	1002	998
GPR160	2	2	0	0	4	1
CBX2	1003	920	802	709	684	572
SPTBN2	1093	1139	975	994	901	865
GOLIM4	713	710	611	832	854	770
KRT28	1	5	0	0	0	0
RBM4B	187	166	166	101	110	107
ATP5MD	172	178	148	170	184	163
HOXB2	295	272	257	273	274	231
C1QTNF1	0	1	2	7	4	7
MARCHF3	50	40	35	55	53	50
SWSAP1	33	54	34	25	19	24
RBM4	247	255	192	157	158	156
PIFO	14	18	13	2	2	1
XXYLT1	445	404	363	381	362	344
UBXN2A	319	342	317	382	406	405
TCAP	8	8	5	5	9	1
CCS	200	158	167	130	120	104
NRROS	34	29	28	5	5	9
CEP19	44	57	41	45	51	46
KLHL15	354	348	303	249	275	271
FBXO45	417	388	375	428	455	392
GNG5	61	61	41	78	70	63
FAM3C2P	122	113	109	135	139	117
SLC25A30	152	132	109	105	105	106
CD34	2	1	3	0	0	0
CTSF	15	11	9	0	0	0
MSRB3	1158	1132	1064	1249	1234	1153
LEMD3	769	807	688	1103	1217	1049
C16orf91	105	113	94	99	101	99
TLR6	15	12	8	2	1	1
FAM174A	41	40	53	77	70	66
RGMB	344	321	279	379	376	356
FAM53A	15	17	12	17	21	13
NWD2	8	3	4	0	0	0
CYB561D1	89	81	85	79	52	57
ZDHHC24	151	168	136	185	179	156
TRMT10C	318	316	291	258	303	266
CTU2	225	209	187	240	227	195
MGA	1730	1540	1488	1416	1390	1387
C12orf66	97	100	96	102	84	77
PIGG	512	484	415	406	388	355
PRPF8	3541	3472	3158	3409	3340	3116
ADCY6	583	523	460	423	398	360
REP15	3	11	2	0	4	8
PITPNA	646	630	587	573	544	535
DDX23	1083	1096	996	1002	990	911
ZNHIT2	91	83	69	117	117	87
ZBTB4	370	327	299	431	422	419
TNK1	0	1	1	0	0	1
ZHX3	339	306	295	335	322	338
SLC16A13	74	84	73	45	31	40
GLIS1	3	5	2	0	3	0
CHRNA9	15	13	18	0	0	0
STAG3L3	11	12	9	8	5	7
SNHG11	105	106	95	111	99	105
EXO1	554	528	492	527	517	488
RALGAPA1	285	289	246	232	249	235
MIR1-1HG-AS1	1	3	0	0	0	0
LIG4	161	143	149	77	99	85
GTF2IRD2B	10	13	8	8	4	5
ATP2A2	2458	2418	2180	2222	2223	2036
ZWILCH	424	416	384	432	495	431
RPL4	747	736	729	783	803	747
SNAPC5	165	135	120	164	176	156
STARD6	3	5	3	1	1	1
C12orf76	39	54	47	25	23	25
ZCCHC12	1	1	2	3	2	1
CNTNAP2	111	108	107	0	1	0
LINGO2	7	11	3	0	2	0
BBS1	28	21	20	21	18	27
DENND4A	303	269	249	327	367	350
IGDCC3	114	102	109	40	36	36
ANKRD36C	258	212	205	224	243	248
MFSD4A	24	17	18	15	20	13
PELI3	156	144	125	90	93	84
TMEM81	31	26	26	27	28	18
MRPL11	335	310	282	278	273	261
IL20RB	11	12	13	9	11	4
AKIRIN1	724	700	661	542	552	507
NPAS4	14	17	10	2	0	0
MSL2	627	621	595	517	553	512
ZNF497	23	12	26	14	10	8
TRAM1L1	4	5	9	1	1	2
ANGEL2	507	525	475	399	426	408
IQCK	62	56	56	110	118	95
ZNF266	280	254	239	286	279	261
SLC29A2	452	410	359	660	599	529
BRSK2	235	225	189	284	278	234
B4GAT1	174	171	163	181	180	156
TMEM167A	839	821	745	542	643	534
SH3PXD2B	804	774	708	892	826	773
PPIAP72	1	2	1	0	1	1
RESF1	666	617	581	530	547	541
LARP7	402	400	361	316	320	335
FGFBP3	253	225	233	44	51	42
NR1D2	173	147	121	86	96	106
PABPC5	7	8	9	0	0	0
BRMS1	380	347	325	367	322	283
RPL15	627	642	579	614	624	565
FAM241A	18	16	9	0	0	1
HRAS	223	218	194	181	195	168
WDR49	2	1	0	0	0	1
SRP72	1105	1027	950	1066	1117	1034
RIN1	302	267	290	489	444	384
THAP6	199	186	152	139	182	172
CEP135	398	374	305	443	461	436
FZD4	104	115	98	149	172	134
CD248	376	330	326	3	1	0
PDZK1	3	2	2	0	0	0
ADGRE1	16	7	9	3	1	2
DENND6A	306	291	271	278	291	321
PDE12	584	588	514	550	599	562
GLMN	241	249	228	123	125	107
DNAH12	2	1	2	0	0	0
YIF1A	320	291	272	254	281	244
CNIH2	46	51	51	15	17	15
NDUFA11	173	141	135	116	106	78
RSRC1	387	380	344	235	262	237
CATSPERD	3	3	4	0	1	2
SLC66A1L	2	5	2	0	0	0
RAB1B	577	572	514	468	450	424
METTL15P1	21	17	16	11	10	8
PTDSS2	422	426	364	462	435	359
MICOS13	153	142	134	182	179	129
C3orf33	15	25	15	17	13	19
SEZ6L2	551	515	472	571	537	493
ASPHD1	174	147	129	238	236	227
KCTD13	280	252	235	383	315	342
FUT1	22	23	30	1	2	1
DHX36	918	904	818	679	731	679
ZIC4	115	106	115	0	0	0
FBXW8	188	196	200	137	145	137
KLC2	525	507	465	690	643	615
SLC22A1	2	4	2	4	1	0
CTBP2	724	694	657	647	674	608
CHST2	3	5	4	3	5	1
ZDHHC14	42	33	38	54	43	35
ATR	935	835	754	721	751	738
SNHG29	626	608	553	651	680	605
UBE2C	332	313	290	332	306	317
GK5	406	398	364	348	363	324
VCPIP1	492	461	436	532	594	539
PDIK1L	167	152	168	134	166	164
SPSB4	7	5	9	2	5	1
TRAF6	271	246	224	238	196	228
ZNF654	342	317	306	595	692	635
TVP23C	50	51	43	34	34	28
MRPS22	340	318	300	275	308	278
PACS1	429	421	386	635	562	506
MARCKSL1	782	790	701	649	660	572
SH3BP5L	369	362	324	304	300	255
TMEM51-AS1	3	1	2	11	17	11
YPEL2	19	15	16	39	51	45
CADM2	136	118	111	377	398	371
PSMD2	1235	1179	1094	1155	1137	1020
FAM182B	30	31	21	6	3	4
PPM1E	105	103	94	48	62	41
FAM131A	210	203	174	225	211	182
CSRP2	57	69	61	44	44	37
INHBC	1	2	2	1	1	0
PARL	78	83	63	63	59	60
DDIT3	120	109	111	107	104	108
PCCA	173	139	124	70	96	107
HIGD2B	1	3	0	1	0	1
DCTN2	369	354	346	329	307	284
ZNF408	170	163	142	140	138	111
CTDSP2	1275	1280	1103	970	943	832
CKAP5	2425	2364	2075	2165	2164	1990
ARHGAP1	670	687	619	546	511	417
MED16	572	522	465	385	327	308
ATG13	474	452	409	468	448	407
GOLGA8A	236	223	188	235	267	254
TP53I11	214	202	146	90	87	82
CENPS	39	38	38	22	38	33
DOLK	271	272	253	194	204	192
PHYHD1	106	107	110	59	50	48
ANKRD30BP1	2	3	1	0	0	0
CCNE2	232	221	197	260	292	258
PHYKPL	171	129	138	201	204	205
ZNF519	167	169	157	45	61	80
LSM1	199	205	185	187	197	167
BANF1	213	219	193	222	214	205
CHRNA7	0	1	2	6	7	10
TMEM9B	182	191	155	174	163	169
NRIP3	68	66	70	57	49	52
PTPN2	372	345	356	355	384	363
SCUBE2	5	10	6	13	8	10
EIF1AD	422	436	398	479	483	450
SMAD2	1442	1424	1238	1170	1278	1171
EIF3F	638	622	557	451	420	446
ZNF25	118	104	113	99	114	114
ARL10	402	391	367	6	0	5
CLTB	301	297	290	267	281	243
RFESD	21	26	20	21	18	16
CCDC14	952	962	892	600	649	611
TBC1D10C	2	0	0	1	0	2
SART1	697	674	623	658	638	584
PPP2R2D	379	338	347	340	294	311
MCTP1	9	7	7	0	0	0
POLD4	19	34	26	20	12	7
CLCF1	55	25	34	66	55	65
LIPT2	47	35	39	17	17	19
CABP4	2	0	0	0	0	0
ALG10B	206	205	211	55	68	65
DRAP1	299	297	268	339	331	336
UCP3	15	14	8	2	2	4
UCP2	512	511	425	0	0	1
C11orf68	136	116	115	104	93	89
PAAF1	174	166	149	105	93	85
MRPL48	177	164	140	136	134	124
RAB6A	518	495	429	435	473	439
P2RY2	14	9	8	0	0	0
FOSL1	45	41	32	53	51	45
ERCC4	373	344	328	341	356	353
SUGCT	51	62	37	73	65	76
CCDC85B	267	270	236	318	345	274
TMEM70	230	226	190	221	248	214
LINC00476	88	75	75	39	45	38
RPS6KB2	286	288	258	287	259	237
RMI2	167	156	152	103	103	87
TOM1L2	113	113	113	50	53	35
ZNF77	64	71	71	67	61	63
GPR156	3	3	1	1	0	0
B3GNTL1	66	67	76	39	54	54
MLXIP	866	848	722	1022	954	858
BAK1P1	24	22	13	14	13	23
RWDD4P2	28	42	31	30	30	34
NR2F1	1253	1284	1185	1235	1219	1134
EIF3KP1	3	3	1	1	2	1
AURKAIP1	447	415	387	439	421	353
TTLL11	53	39	52	42	41	28
TOMM5	97	79	76	85	77	86
ZBTB44-DT	5	4	4	1	1	1
SLC35E3	194	181	171	146	139	174
PRIMA1	11	11	10	10	6	9
ZNF169	55	40	43	75	80	80
RUVBL1	713	705	642	664	634	605
SFN	8	3	8	4	4	6
MSRA	58	70	44	121	118	108
CCDC168	14	14	13	8	16	13
CTDNEP1	435	413	410	454	449	420
ETV4	594	582	522	666	647	560
SWI5	96	79	70	71	73	75
GAPT	0	0	1	1	3	3
BAIAP2	347	287	269	465	433	386
CALCB	11	12	6	1	0	0
CREG2	1	0	1	1	2	5
HOXD8	17	15	14	0	0	0
RPL7AP66	1	1	2	3	0	4
ZDHHC21	815	892	801	251	312	303
TSPEAR	2	2	2	0	0	1
PLEKHF2	34	28	30	83	79	75
A2M	5	9	6	0	1	1
ARL4D	20	34	22	12	13	14
DOK7	1	3	0	1	1	2
UBE2O	836	748	717	878	843	746
ORAI3	44	38	30	32	28	21
UNC119B	505	521	458	389	387	353
DENND2C	30	41	28	44	33	45
TUBB6	817	804	736	791	733	656
LYSMD3	136	143	125	121	162	153
B3GALT6	350	329	300	196	200	162
ZNF613	35	35	31	19	25	25
NUPR1	216	197	206	1	3	1
RPL23P2	5	3	5	2	1	3
MBLAC2	171	189	139	127	154	139
TPRN	261	250	213	322	304	263
SLC35A4	648	626	567	544	552	469
CRYBG2	6	8	7	10	3	5
IP6K1	563	491	422	555	509	502
SSNA1	273	252	194	244	212	201
CSTF3	609	569	515	333	325	316
YES1	879	852	810	936	1025	892
CHMP6	118	127	115	136	129	105
DLEU1	82	90	81	33	38	43
UFSP1	35	35	19	16	26	23
MC5R	11	9	8	0	0	0
TMEM39A	318	343	306	368	386	359
TCP11L1	323	298	284	276	274	247
CCDC57	648	555	481	338	290	287
FOXG1	45	21	37	0	0	0
SPHK1	261	223	200	373	361	290
BNIP3	266	252	233	253	268	247
MYPOP	234	239	223	232	198	199
LRRTM4	566	529	483	29	24	14
ATAD5	690	697	613	519	556	563
SMIM19	123	100	84	82	87	81
ZNF404	1	0	0	0	0	0
RTTN	506	414	428	1899	2002	1860
RPP38-DT	7	5	7	2	3	3
CDV3P1	1	0	1	2	0	2
ACBD7	122	119	114	124	118	131
ANAPC2	284	277	238	266	281	217
ZBTB8OS	166	150	156	143	163	159
CYCSP34	3	4	2	3	4	1
SLC35G1	376	409	324	229	298	245
ZNF135	6	4	5	5	0	5
COX8A	173	180	153	156	152	145
RPL37AP8	8	11	9	8	5	5
ZSCAN2	85	91	75	57	40	56
B3GNT4	17	15	15	34	42	32
CDC26	27	28	18	35	31	35
HSD11B2	8	7	8	58	52	41
CRLF3	320	311	275	324	312	319
RNPEP	649	603	559	622	575	516
EID2	159	142	134	101	132	104
DMRTA1	2	1	3	4	2	0
EID2B	42	54	42	35	27	32
GJC3	1	0	2	0	0	0
RIMS2	393	366	351	147	152	152
KCMF1	597	550	503	409	481	403
DNAJC30	140	130	128	129	112	102
SPRYD4	226	221	185	210	169	184
VPS37D	21	9	11	17	13	10
CLEC14A	3	4	3	0	0	0
SYNE3	23	18	17	55	47	37
CLK2	523	517	484	397	387	349
LPCAT4	239	245	226	256	258	233
ZNF575	11	14	18	19	13	20
WDR25	104	96	88	25	34	29
SGF29	111	119	109	83	86	86
PLAAT3	47	29	37	141	125	110
DIRAS1	364	342	312	284	270	269
PHLDB3	114	111	113	134	142	116
GNG7	25	27	26	12	15	11
USF3	798	743	709	733	716	671
CNTD1	2	1	1	0	1	1
KBTBD11	3	3	0	32	26	39
B3GNT5	32	32	39	40	25	27
LMNB2	2041	1972	1852	1988	1954	1747
RMDN1	262	247	220	236	228	221
MEX3C	581	577	495	571	575	515
RNF152	5	6	2	2	3	2
MYO1D	1	3	5	7	3	6
LRRC37A	0	2	0	1	0	0
BDNF	36	24	31	1	1	2
SCAND2P	67	58	64	87	107	101
CCDC121	73	93	84	67	89	87
ACSF3	404	414	348	286	251	228
BOK	286	280	226	431	387	353
ZNF843	12	13	9	5	2	2
RBIS	145	166	139	165	179	175
PFN4	8	11	5	3	8	3
CDK5R1	146	134	105	157	157	151
ZNF285B	6	2	3	1	3	4
RUFY1	403	391	340	330	335	306
BASP1	8	5	8	8	12	7
LRRC37A3	10	17	15	12	12	13
FKBP9P1	8	8	9	9	7	10
VSIG10	266	255	204	271	247	210
MIR7-3HG	26	22	18	0	0	0
IRX5	36	33	31	0	1	0
METRNL	49	48	31	138	146	117
FAM91A1	538	571	485	693	713	690
KRT18P28	2	2	0	3	3	3
GJA1P1	3	4	3	3	3	5
WSB2	513	527	450	497	493	457
GRIN1	3	12	8	0	0	0
TYMS	740	740	689	586	596	522
PXMP2	49	44	44	43	34	37
TCEANC	33	32	29	41	54	42
PNMA1	523	533	491	490	475	407
TCIM	1	8	5	0	0	0
MAMSTR	15	12	11	95	77	60
TYMSOS	50	50	30	51	49	32
ANKLE2	1075	987	920	950	944	849
C8G	0	2	2	2	1	2
EFCAB5	1	3	3	143	153	148
GCNT4	153	132	106	8	12	9
MUC20	8	6	5	4	2	2
THAP4	583	555	522	533	524	458
NFATC2IP	523	536	445	481	480	434
FIBIN	589	553	492	0	1	4
FAM89B	53	33	44	54	47	47
SHMT1	391	355	262	374	364	341
DPP7	31	20	31	8	2	5
SEC24C	794	823	690	842	768	686
SMCR8	1134	1066	967	1040	976	880
MTHFR	391	340	319	395	389	346
C19orf18	10	7	5	0	4	4
DEAF1	359	363	344	367	360	321
MTX3	641	652	562	516	568	576
TMEM80	192	167	161	118	121	96
SIX5	275	247	226	282	284	246
FBXO46	359	355	324	422	382	345
ZDHHC13	120	123	111	102	127	116
SLC38A9	102	89	86	64	74	80
ACER2	37	35	42	37	34	41
WDR73	521	530	432	534	518	468
POLE	1870	1810	1580	1665	1583	1343
PHETA2	0	2	4	0	1	0
SCN4B	8	14	6	4	4	2
RHOG	193	191	176	242	224	202
EPS8L2	11	11	8	8	2	4
ANO6	778	809	711	845	852	808
ZBTB34	434	437	366	246	251	232
PRDM16-DT	0	0	0	36	32	17
FAM210A	289	304	261	285	346	333
TALDO1	456	422	394	427	425	385
ULK1	328	275	260	158	125	128
NAP1L4P1	28	19	19	17	22	17
RIMKLA	44	37	35	48	56	39
RPS6KA3	1061	1033	896	652	678	658
B3GNT8	3	3	2	1	1	4
PUS1	506	442	408	574	525	537
PCNPP5	32	23	21	20	22	20
CHD9	936	940	900	683	735	750
GATD1	464	443	392	444	379	362
TRIM72	2	1	3	8	5	3
MAN1B1	443	426	383	271	284	240
FZD8	516	495	421	957	923	823
FBXO39	2	2	6	0	0	0
TOP3A	838	778	690	794	805	689
CASKIN2	453	427	381	243	217	216
ZBTB38	446	464	435	478	428	439
C8orf31	87	92	57	128	109	107
DLGAP1-AS1	134	124	114	63	46	66
RPL13AP3	1	2	0	0	0	2
CCDC71	218	196	201	167	148	118
LRRN4CL	4	3	4	2	2	3
TIMM22	290	312	245	272	283	250
HIC1	79	66	56	333	324	311
PPFIA3	459	394	401	617	555	512
MAGEF1	336	324	295	159	158	147
SAMD9L	23	24	28	0	0	0
ZFAS1	199	211	194	218	243	232
PAWR	531	547	506	448	489	490
TGIF1	513	486	455	548	572	497
MIEF2	63	77	58	45	42	25
NAP1L5	36	36	36	13	10	18
CBX3P1	6	5	5	4	3	2
NIM1K	8	2	5	1	4	3
NR2C2	536	531	444	555	607	576
GPR4	6	3	3	9	3	9
CAVIN1	1143	1103	984	1216	1183	1092
ARIH2	922	872	798	805	812	701
RBM44	3	5	3	0	1	3
ZBTB33	500	467	409	381	448	429
IRX3	45	39	29	1	1	2
SLC25A22	691	688	589	713	727	601
RABEP2	156	147	135	205	151	134
ATOX1	151	168	155	139	169	161
TBL1XR1	1305	1378	1207	1068	1317	1180
SAMD12	1	0	0	3	1	0
C18orf32	42	35	35	40	32	34
PIDD1	332	346	287	363	306	273
ZNF491	20	13	12	5	4	3
RPLP2	369	365	341	396	389	371
HASPIN	357	304	304	336	329	322
JUN	9	11	12	68	55	45
CSTF2T	468	432	411	226	236	217
PGBD5	9	7	6	6	10	11
GBA	311	296	284	305	325	275
CASC2	53	45	33	23	23	31
ACAD9	432	402	343	496	494	430
IL17RA	351	341	301	566	502	464
PNPLA2	372	349	294	311	297	257
AGTRAP	180	187	147	137	122	116
SRRM3	37	37	24	67	54	68
THAP5	266	283	258	169	222	187
CRACR2B	157	169	135	350	323	273
SUMO4	4	6	5	1	3	1
DNAJC28	18	17	14	22	19	17
CD151	538	532	433	605	585	512
POLR2L	307	298	260	273	276	265
FAM20C	200	194	176	357	327	279
NECTIN3	7	2	5	0	1	0
SLC35G5	2	2	1	0	0	1
ANXA2R	64	49	44	64	69	62
TMEM94	562	568	532	382	386	369
FLII	1017	973	873	1210	1133	1005
SOX12	699	751	657	718	689	598
HNRNPA0	950	899	802	703	759	709
FXNP2	3	3	4	2	2	4
YIPF7	0	0	0	0	0	1
FAM87B	0	2	2	5	5	1
CDKN2AIPNLP1	4	6	3	5	3	5
YWHAQP4	10	6	8	3	4	3
CHID1	490	452	387	520	475	436
PCDHB9	1	3	4	5	6	6
ZNF620	135	117	106	35	29	43
ZNF518A	629	650	552	543	618	560
TMEM187	24	27	24	13	8	5
CACYBPP2	110	110	96	108	112	98
SVBP	97	71	64	40	40	48
ZNF619	64	52	55	41	39	36
CCDC184	40	48	41	62	47	44
AP3S1	207	211	189	208	246	240
GRB2	849	844	763	776	792	697
ZBTB41	412	418	373	721	798	766
UBE2N	591	580	517	408	466	434
ARL6IP6	206	180	155	139	147	137
ZNF354C	111	129	111	1	1	1
MAMDC4	85	90	71	126	97	79
CENPBD1	95	114	102	88	69	87
BET1L	606	578	461	562	595	510
RPS27	67	73	57	89	93	98
RIC8A	723	691	584	723	697	610
IMP3	318	295	243	249	261	223
ASB8	140	126	117	109	90	95
LCN15	1	1	3	1	0	0
ODF3B	3	0	2	2	3	2
DPY19L2	24	38	25	22	22	30
LRRC75B	64	69	58	62	48	70
DMAP1	228	227	203	173	179	153
IMPDH2	733	714	683	912	892	812
ALS2CL	18	23	20	29	29	29
MLF1	298	259	253	136	167	142
NDUFAF3	324	291	253	264	281	218
C2orf69	299	331	276	265	307	299
GRAMD1C	32	33	32	15	13	20
STAP2	46	28	22	21	30	46
TWF1P1	100	95	91	115	96	89
TSSK6	64	44	35	35	38	40
BOLA1	90	77	73	69	63	53
PDE4DIP	104	89	79	76	74	77
DDX10	585	587	533	566	564	507
NDUFV2	95	84	60	59	58	54
GK4P	25	25	23	26	17	27
DALRD3	179	160	136	188	196	169
ZNF114	164	175	175	192	217	197
ZNF518B	531	464	458	374	338	372
LCORL	286	288	264	246	290	299
PARD6G	156	159	145	77	80	61
ZNF454	1	2	4	0	1	1
SH2B1	488	467	410	408	382	367
POGLUT3	881	870	788	701	751	703
PLEC	3278	3060	2686	4179	3920	3414
RNF212	54	48	47	261	238	243
PRSS36	5	3	5	4	4	4
ZNF543	168	159	151	90	111	114
TMEM151B	2	7	10	0	0	1
GALNT11	450	414	363	378	390	359
WDR6	1110	1083	925	1195	1143	996
GEN1	586	626	497	446	496	478
TMPRSS9	0	0	2	2	1	2
AQP11	12	14	8	12	11	8
TMEM11	276	260	230	241	233	225
ZNF354B	214	211	179	158	179	172
SHISA3	200	227	222	43	35	42
ZFAND2A	77	82	76	109	118	101
PLEKHM3	97	121	79	37	47	58
ZNF223	5	2	5	0	1	3
FAM220A	1	0	2	3	1	0
DNAJC22	32	38	31	28	32	31
CEP295NL	12	11	13	5	3	3
BEND3	509	504	453	542	499	460
NT5DC1	154	122	92	140	152	152
RPS3AP5	25	24	21	24	23	20
TIMM23B-AGAP6	10	14	13	12	12	4
GLDC	186	177	161	396	398	383
COX14	127	106	116	83	90	77
RPL10P16	16	12	12	15	13	13
P4HTM	3	2	1	2	0	0
DTX3	69	89	73	0	1	0
KLHL11	472	460	404	409	399	395
NECAP1P1	4	4	1	2	5	4
CTXN1	301	286	262	337	332	277
SLC25A20	76	87	88	97	84	88
CKS1BP6	14	12	13	12	11	11
EPM2AIP1	2	7	4	0	0	0
ERBB4	159	162	115	16	16	18
CTNNBIP1	144	142	128	82	64	62
GTPBP6	389	374	333	509	424	381
ERN1	192	181	170	276	254	219
GPR35	3	2	2	3	0	0
